model_name,feature,mae,rmse,normalized_mae,normalized_rmse
MLPForecaster,cpu_percent,3.617748975753784,6.918889999389648,0.04097642238084922,0.07836678578909753
MLPForecaster,mem_percent,1.7904150485992432,2.257643938064575,0.0250988969753283,0.031648735667626014
MLPForecaster,swap_percent,1.9186338186264038,2.361316442489624,0.02170221231349606,0.026709521262867724
MLPForecaster,io_read_mb,7.39247989654541,9.889518737792969,0.025968763782827607,0.03474051733946646
MLPForecaster,io_write_mb,6.430588722229004,8.466204643249512,0.026462972180762073,0.034839879772826196
MLPForecaster,net_in_mb,2.263812780380249,2.836724281311035,0.05067383319516052,0.06349804820329354
MLPForecaster,net_out_mb,1.9241331815719604,2.3910913467407227,0.0563738143339666,0.07005489065293918
MLPForecaster,psi_cpu,0.04115597903728485,0.07950174063444138,0.04115597903728485,0.07950174063444138
MLPForecaster,psi_mem,0.02541941963136196,0.0325247123837471,0.02541941963136196,0.0325247123837471
MLPForecaster,psi_io,0.035354796797037125,0.044880811125040054,0.035354796797037125,0.044880811125040054
MLPForecaster,process_count,5.374670505523682,6.819505214691162,0.02843741008213588,0.036082038172969115
MLPForecaster,blocked_processes,2.431349277496338,3.4736194610595703,0.023836757622513118,0.03405509275548598
CNN1DForecaster,cpu_percent,3.9457409381866455,7.4073052406311035,0.04469142231043174,0.08389881948090011
CNN1DForecaster,mem_percent,1.724721908569336,2.20310640335083,0.02417797902678534,0.030884202345511903
CNN1DForecaster,swap_percent,1.7341688871383667,2.235541582107544,0.019615677056646505,0.02528684607742436
CNN1DForecaster,io_read_mb,8.28802490234375,11.912867546081543,0.029114690053568763,0.041848263047001774
CNN1DForecaster,io_write_mb,7.1213459968566895,10.144079208374023,0.029305556480850127,0.04174462051393637
CNN1DForecaster,net_in_mb,2.6759626865386963,3.336987257003784,0.05989951465481116,0.07469607782997978
CNN1DForecaster,net_out_mb,2.204498529434204,2.7781646251678467,0.0645880399486154,0.08139547629465838
CNN1DForecaster,psi_cpu,0.04435921460390091,0.08561429381370544,0.04435921460390091,0.08561429381370544
CNN1DForecaster,psi_mem,0.025829926133155823,0.03271438181400299,0.025829926133155823,0.03271438181400299
CNN1DForecaster,psi_io,0.03748029097914696,0.05105695500969887,0.03748029097914696,0.05105695500969887
CNN1DForecaster,process_count,5.584441661834717,7.226767539978027,0.029547310380077865,0.03823686529088904
CNN1DForecaster,blocked_processes,2.635359525680542,3.771416425704956,0.025836858094907274,0.03697467084024467
GRUForecaster,cpu_percent,3.44205641746521,6.607217311859131,0.03898644117268522,0.0748366260753037
GRUForecaster,mem_percent,1.7073925733566284,2.1590640544891357,0.02393504809325964,0.030266795572989537
GRUForecaster,swap_percent,1.4338337182998657,1.9201921224594116,0.01621850061992072,0.021719838730952352
GRUForecaster,io_read_mb,6.825321674346924,9.557329177856445,0.023976415057382485,0.03357358116461879
GRUForecaster,io_write_mb,6.1464104652404785,8.340291976928711,0.02529353006062317,0.03432172762067021
GRUForecaster,net_in_mb,2.304879665374756,2.894892930984497,0.051593086102508685,0.06480011190586069
GRUForecaster,net_out_mb,1.94635009765625,2.4359817504882812,0.05702473201180938,0.07137010277571657
GRUForecaster,psi_cpu,0.036687251180410385,0.07394856214523315,0.036687251180410385,0.07394856214523315
GRUForecaster,psi_mem,0.021829882636666298,0.02966771461069584,0.021829882636666298,0.02966771461069584
GRUForecaster,psi_io,0.02860831469297409,0.03866429626941681,0.02860831469297409,0.03866429626941681
GRUForecaster,process_count,5.300278186798096,6.749135494232178,0.028043799930148654,0.035709711609694064
GRUForecaster,blocked_processes,2.34177565574646,3.415969133377075,0.022958584860259413,0.03348989346448113
LSTMForecaster,cpu_percent,3.4357783794403076,7.169796466827393,0.038915332994766974,0.08120867710237574
LSTMForecaster,mem_percent,1.5333369970321655,1.945077896118164,0.02149505353358091,0.027267034960330904
LSTMForecaster,swap_percent,1.180910587310791,1.5216143131256104,0.013357615215717444,0.017211411871363762
LSTMForecaster,io_read_mb,6.33854341506958,9.062291145324707,0.022266430071735566,0.03183458073306672
LSTMForecaster,io_write_mb,5.386041164398193,7.675173282623291,0.022164480369458932,0.03158465046263854
LSTMForecaster,net_in_mb,2.257402181625366,2.8162426948547363,0.0505303365178728,0.06303958251008174
LSTMForecaster,net_out_mb,1.8791871070861816,2.354247570037842,0.05505697115368741,0.06897543095279854
LSTMForecaster,psi_cpu,0.03686476871371269,0.07905878126621246,0.03686476871371269,0.07905878126621246
LSTMForecaster,psi_mem,0.021232226863503456,0.028233185410499573,0.021232226863503456,0.028233185410499573
LSTMForecaster,psi_io,0.02838047780096531,0.03926350548863411,0.02838047780096531,0.03926350548863411
LSTMForecaster,process_count,5.141268730163574,6.581036567687988,0.027202480053775523,0.03482029929993644
LSTMForecaster,blocked_processes,2.133927822113037,3.3132483959198,0.020920861001108206,0.03248282741097843
